A, S, R, P, C,
34.34625  , 1.7273    , 0.01273   , 213.825   , 0.0       , 
32.62767  , 3.35696   , 0.01736   , 213.825   , 0.0       , 
30.99455  , 4.90333   , 0.02399   , 213.825   , 0.0       , 
29.44242  , 6.37055   , 0.03276   , 213.825   , 0.0       , 
27.96703  , 7.76253   , 0.0438    , 213.825   , 0.0       , 
26.5643   , 9.08298   , 0.05725   , 213.825   , 0.0       , 
25.23038  , 10.33542  , 0.0733    , 213.825   , 0.0       , 
23.96155  , 11.52316  , 0.09213   , 213.825   , 0.0       , 
22.75429  , 12.64935  , 0.11396   , 213.825   , 0.0       , 
21.60524  , 13.71696  , 0.13901   , 213.825   , 0.0       , 
20.51117  , 14.7288   , 0.16755   , 213.825   , 0.0       , 
19.46899  , 15.68752  , 0.19984   , 213.825   , 0.0       , 
18.47576  , 16.59562  , 0.23621   , 213.825   , 0.0       , 
17.52865  , 17.45546  , 0.27697   , 213.825   , 0.0       , 
16.62495  , 18.26925  , 0.32249   , 213.825   , 0.0       , 
15.76207  , 19.03909  , 0.37313   , 213.825   , 0.0       , 
14.93751  , 19.76692  , 0.4293    , 213.825   , 0.0       , 
14.14891  , 20.4546   , 0.49142   , 213.825   , 0.0       , 
13.39397  , 21.10385  , 0.55992   , 213.825   , 0.0       , 
12.67053  , 21.71627  , 0.63526   , 213.825   , 0.0       , 
11.97651  , 22.29338  , 0.71788   , 213.825   , 0.0       , 
11.30995  , 22.83658  , 0.80822   , 213.825   , 0.0       , 
10.66902  , 23.3472   , 0.9067    , 213.825   , 0.0       , 
10.052    , 23.82645  , 1.0137    , 213.825   , 0.0       , 
9.45732   , 24.27549  , 1.12953   , 213.825   , 0.0       , 
8.88355   , 24.69539  , 1.25443   , 213.825   , 0.0       , 
8.32945   , 25.08717  , 1.38854   , 213.825   , 0.0       , 
7.79397   , 25.45178  , 1.53185   , 213.825   , 0.0       , 
7.27624   , 25.79014  , 1.68419   , 213.825   , 0.0       , 
6.77567   , 26.10313  , 1.84518   , 213.825   , 0.0       , 
6.29186   , 26.39162  , 2.01425   , 213.825   , 0.0       , 
5.82469   , 26.65647  , 2.19057   , 213.825   , 0.0       , 
5.37427   , 26.89852  , 2.3731    , 213.825   , 0.0       , 
4.94093   , 27.11867  , 2.56053   , 213.825   , 0.0       , 
4.52523   , 27.31781  , 2.75137   , 213.825   , 0.0       , 
4.12787   , 27.49689  , 2.94396   , 213.825   , 0.0       , 
3.74963   , 27.65687  , 3.13653   , 213.825   , 0.0       , 
3.39136   , 27.79879  , 3.32728   , 213.825   , 0.0       , 
3.05384   , 27.92368  , 3.51444   , 213.825   , 0.0       , 
2.73775   , 28.03264  , 3.69637   , 213.825   , 0.0       , 
2.44358   , 28.12679  , 3.8716    , 213.825   , 0.0       , 
2.1716    , 28.20724  , 4.03893   , 213.825   , 0.0       , 
1.92179   , 28.27512  , 4.19743   , 213.825   , 0.0       , 
1.69388   , 28.33154  , 4.34644   , 213.825   , 0.0       , 
