"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
5.04127,59.51192,0.01521,181.68515,0,4.60169,-5.03298,0.00952,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,1
9.64296,54.47894,0.02473,181.68515,0,4.20833,-4.60853,0.014,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,2
13.85129,49.87041,0.03873,181.68515,0,3.84812,-4.22048,0.01867,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,3
17.69941,45.64993,0.0574,181.68515,0,3.51817,-3.86575,0.02362,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,4
21.21758,41.78418,0.08102,181.68515,0,3.2159,-3.54155,0.02885,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,5
24.43348,38.24263,0.10987,181.68515,0,2.93893,-3.24534999999999,0.03443,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,6
27.37241,34.99728,0.1443,181.68515,0,2.68504,-2.97478,0.04041,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,7
30.05745,32.0225,0.18471,181.68515,0,2.45226,-2.72775,0.04686,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,8
32.50971,29.29475,0.23157,181.68515,0,2.23871,-2.50227,0.05381,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,9
34.74842,26.79248,0.28538,181.68515,0,2.04273999999999,-2.2966,0.06133,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,10
36.79116,24.49588,0.34671,181.68515,0,1.86278,-2.10908,0.06945,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,11
38.65394,22.3868,0.41616,181.68515,0,1.6974,-1.93821,0.07825,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,12
40.35134,20.44859,0.49441,181.68515,0,1.54532,-1.78263,0.08773,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,13
41.89666,18.66596,0.58214,181.68515,0,1.40533000000001,-1.64104,0.09793,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,14
43.30199,17.02492,0.68007,181.68515,0,1.27634,-1.51228,0.10886,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,15
44.57833,15.51264,0.78893,181.68515,0,1.15734,-1.39523,0.12047,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,16
45.73567,14.11741,0.9094,181.68515,0,1.04744,-1.28883,0.1327,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,17
46.78311,12.82858,1.0421,181.68515,0,0.945819999999998,-1.19207,0.14543,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,18
47.72893,11.63651,1.18753,181.68515,0,0.851710000000004,-1.10399,0.15847,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,19
48.58064,10.53252,1.346,181.68515,0,0.764479999999999,-1.02359,0.17158,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,20
49.34512,9.50893,1.51758,181.68515,0,0.68356,-0.9499,0.1844,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,21
50.02868,8.55903,1.70198,181.68515,0,0.608440000000002,-0.88197,0.19651,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,22
50.63712,7.67706,1.89849,181.68515,0,0.538719999999998,-0.81884,0.2074,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,23
51.17584,6.85822,2.10589,181.68515,0,0.474060000000001,-0.75955,0.21654,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,24
51.6499,6.09867,2.32243,181.68515,0,0.414229999999996,-0.70322,0.22337,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,25
52.06413,5.39545,2.5458,181.68515,0,0.359020000000001,-0.649100000000001,0.2274,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,26
52.42315,4.74635,2.7732,181.68515,0,0.30829,-0.59655,0.22823,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,27
52.73144,4.1498,3.00143,181.68515,0,0.261960000000002,-0.54513,0.22571,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,28
52.9934,3.60467,3.22714,181.68515,0,0.219920000000002,-0.4947,0.21986,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,29
53.21332,3.10997,3.447,181.68515,0,0.182089999999995,-0.44531,0.21099,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,30
53.39541,2.66466,3.65799,181.68515,0,0.148360000000004,-0.39726,0.1996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,31
53.54377,2.2674,3.85759,181.68515,0,0.118569999999998,-0.351,0.18638,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,32
53.66234,1.9164,4.04397,181.68515,0,0.0925099999999972,-0.30706,0.17205,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,33
53.75485,1.60934,4.21602,181.68515,0,0.0699400000000026,-0.26599,0.157319999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,34
53.82479,1.34335,4.37334,181.68515,0,0.0506000000000029,-0.22822,0.14285,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,35
53.87539,1.11513,4.51619,181.68515,0,0.0341499999999968,-0.19404,0.12909,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,36
53.90954,0.92109,4.64528,181.68515,0,0.0202900000000028,-0.16362,0.116420000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,37
53.92983,0.75747,4.7617,181.68515,0,0.00869999999999749,-0.13694,0.10502,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,38
53.93853,0.62053,4.86672,181.68515,0,-0.000939999999999941,-0.11386,0.0949600000000004,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,39
53.93759,0.50667,4.96168,181.68515,0,-0.00889000000000095,-0.09412,0.0862499999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,40
53.9287,0.41255,5.04793,181.68515,0,-0.0154300000000021,-0.07742,0.0788099999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,41
53.91327,0.33513,5.12674,181.68515,0,-0.0207799999999949,-0.06343,0.0725199999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,42
53.89249,0.2717,5.19926,181.68515,0,-0.0251400000000004,-0.05177,0.0672500000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,43
53.86735,0.21993,5.26651,181.68515,0,-0.0286900000000045,-0.04215,0.0628799999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,44
53.83866,0.17778,5.32939,181.68515,0,-0.0315499999999957,-0.03422,0.0592600000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,45
53.80711,0.14356,5.38865,181.68515,0,-0.0338700000000003,-0.02774,0.0562800000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,46
53.77324,0.11582,5.44493,181.68515,0,-0.0357500000000002,-0.02244,0.0538499999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,47
53.73749,0.09338,5.49878,181.68515,0,-0.0372400000000042,-0.01814,0.0518599999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,48
53.70025,0.07524,5.55064,181.68515,0,-0.0384599999999935,-0.01464,0.0502400000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,49
