P_nought, P_one, P_two, R_one, R_two, A_one, A_two, S,
156.0     , 0.0       , 0.0       , 0.0       , 0.0       , 0.676     , 0.68141   , 50.648    , 
156.0     , 0.0       , 0.0       , 0.01014   , 0.01371   , 1.31921   , 1.33721   , 49.33036  , 
156.0     , 0.0       , 0.0       , 0.02985   , 0.04069   , 1.93115   , 1.96855   , 48.04545  , 
156.0     , 0.0       , 0.0       , 0.05858   , 0.08053   , 2.51326   , 2.57654   , 46.79168  , 
156.0     , 0.0       , 0.0       , 0.09581   , 0.13283   , 3.0669    , 3.16222   , 45.56755  , 
156.0     , 0.0       , 0.0       , 0.14104   , 0.1972    , 3.5934    , 3.7266    , 44.37163  , 
156.0     , 0.0       , 0.0       , 0.19382   , 0.27328   , 4.09398   , 4.27067   , 43.20255  , 
156.0     , 0.0       , 0.0       , 0.25367   , 0.36073   , 4.56982   , 4.79536   , 42.05901  , 
156.0     , 0.0       , 0.0       , 0.32019   , 0.4592    , 5.02205   , 5.30155   , 40.93976  , 
156.0     , 0.0       , 0.0       , 0.39296   , 0.56837   , 5.45173   , 5.7901    , 39.8436   , 
156.0     , 0.0       , 0.0       , 0.47159   , 0.68795   , 5.85986   , 6.26185   , 38.7694   , 
156.0     , 0.0       , 0.0       , 0.55572   , 0.81763   , 6.24743   , 6.71757   , 37.71608  , 
156.0     , 0.0       , 0.0       , 0.64498   , 0.95714   , 6.61533   , 7.15804   , 36.68259  , 
156.0     , 0.0       , 0.0       , 0.73905   , 1.10621   , 6.96444   , 7.58397   , 35.66795  , 
156.0     , 0.0       , 0.0       , 0.83761   , 1.26459   , 7.29558   , 7.99607   , 34.67121  , 
156.0     , 0.0       , 0.0       , 0.94034   , 1.43204   , 7.60954   , 8.39501   , 33.69147  , 
156.0     , 0.0       , 0.0       , 1.04696   , 1.60831   , 7.90706   , 8.78143   , 32.72786  , 
156.0     , 0.0       , 0.0       , 1.15719   , 1.7932    , 8.18885   , 9.15595   , 31.77958  , 
156.0     , 0.0       , 0.0       , 1.27077   , 1.98648   , 8.45557   , 9.51916   , 30.84582  , 
156.0     , 0.0       , 0.0       , 1.38744   , 2.18797   , 8.70788   , 9.87164   , 29.92584  , 
156.0     , 0.0       , 0.0       , 1.50695   , 2.39746   , 8.94636   , 10.21393  , 29.01892  , 
156.0     , 0.0       , 0.0       , 1.62909   , 2.61477   , 9.1716    , 10.54656  , 28.12438  , 
156.0     , 0.0       , 0.0       , 1.75363   , 2.83973   , 9.38414   , 10.87003  , 27.24157  , 
156.0     , 0.0       , 0.0       , 1.88037   , 3.07217   , 9.5845    , 11.18483  , 26.36985  , 
156.0     , 0.0       , 0.0       , 2.00909   , 3.31194   , 9.77316   , 11.49142  , 25.50864  , 
156.0     , 0.0       , 0.0       , 2.13962   , 3.55889   , 9.9506    , 11.79025  , 24.65737  , 
156.0     , 0.0       , 0.0       , 2.27176   , 3.81286   , 10.11725  , 12.08175  , 23.81548  , 
156.0     , 0.0       , 0.0       , 2.40534   , 4.07374   , 10.27353  , 12.36634  , 22.98247  , 
156.0     , 0.0       , 0.0       , 2.5402    , 4.34139   , 10.41984  , 12.64441  , 22.15783  , 
156.0     , 0.0       , 0.0       , 2.67618   , 4.61569   , 10.55655  , 12.91635  , 21.3411   , 
156.0     , 0.0       , 0.0       , 2.81312   , 4.89652   , 10.68402  , 13.18251  , 20.53181  , 
156.0     , 0.0       , 0.0       , 2.95087   , 5.18378   , 10.80258  , 13.44326  , 19.72954  , 
156.0     , 0.0       , 0.0       , 3.08931   , 5.47736   , 10.91255  , 13.69893  , 18.93387  , 
156.0     , 0.0       , 0.0       , 3.22828   , 5.77716   , 11.01423  , 13.94985  , 18.14441  , 
156.0     , 0.0       , 0.0       , 3.36767   , 6.0831    , 11.10792  , 14.19634  , 17.36078  , 
156.0     , 0.0       , 0.0       , 3.50734   , 6.39509   , 11.19387  , 14.43869  , 16.58262  , 
156.0     , 0.0       , 0.0       , 3.64719   , 6.71304   , 11.27234  , 14.6772   , 15.80959  , 
156.0     , 0.0       , 0.0       , 3.7871    , 7.03688   , 11.34357  , 14.91215  , 15.04135  , 
156.0     , 0.0       , 0.0       , 3.92696   , 7.36654   , 11.4078   , 15.1438   , 14.27759  , 
156.0     , 0.0       , 0.0       , 4.06666   , 7.70195   , 11.46523  , 15.37242  , 13.518    , 
156.0     , 0.0       , 0.0       , 4.2061    , 8.04304   , 11.51606  , 15.59825  , 12.76231  , 
156.0     , 0.0       , 0.0       , 4.3452    , 8.38977   , 11.56049  , 15.82154  , 12.01024  , 
156.0     , 0.0       , 0.0       , 4.48384   , 8.74207   , 11.5987   , 16.04252  , 11.26152  , 
156.0     , 0.0       , 0.0       , 4.62195   , 9.0999    , 11.63086  , 16.26142  , 10.5159   , 
156.0     , 0.0       , 0.0       , 4.75944   , 9.4632    , 11.65712  , 16.47844  , 9.77314   , 
156.0     , 0.0       , 0.0       , 4.89622   , 9.83194   , 11.67763  , 16.69379  , 9.03301   , 
156.0     , 0.0       , 0.0       , 5.03222   , 10.20607  , 11.69254  , 16.57089  , 8.63209   , 
154.9896  , 0.0       , 1.0104    , 5.16735   , 10.57883  , 11.70635  , 16.44534  , 8.23713   , 
153.94229 , 0.0       , 2.05771   , 5.3016    , 10.95015  , 11.71914  , 16.31727  , 7.84801   , 
152.85823 , 0.0       , 3.14177   , 5.43498   , 11.31997  , 11.73097  , 16.18679  , 7.46461   , 
151.73755 , 0.0       , 4.26245   , 5.56746   , 11.68825  , 11.74193  , 16.05403  , 7.0868    , 
150.58042 , 0.0       , 5.41958   , 5.69905   , 12.05492  , 11.75206  , 15.9191   , 6.71448   , 
149.38698 , 0.0       , 6.61302   , 5.82974   , 12.41994  , 11.76143  , 15.7821   , 6.34752   , 
148.1574  , 0.0       , 7.8426    , 5.95952   , 12.78326  , 11.7701   , 15.64313  , 5.98582   , 
146.89186 , 0.0       , 9.10814   , 6.0884    , 13.14483  , 11.77812  , 15.50231  , 5.62927   , 
145.59052 , 0.0       , 10.40948  , 6.21636   , 13.50461  , 11.78555  , 15.35973  , 5.27777   , 
144.25357 , 0.0       , 11.74643  , 6.34341   , 13.86255  , 11.79242  , 15.21548  , 4.93122   , 
142.88117 , 0.0       , 13.11883  , 6.46955   , 14.21862  , 11.7988   , 15.06967  , 4.58951   , 
141.47353 , 0.0       , 14.52647  , 6.59478   , 14.57277  , 11.80472  , 14.92238  , 4.25255   , 
140.03083 , 0.0       , 15.96917  , 6.71909   , 14.92497  , 11.81022  , 14.7737   , 3.92026   , 
138.55326 , 0.0       , 17.44674  , 6.84249   , 15.27518  , 11.81535  , 14.62371  , 3.59253   , 
137.04101 , 0.0       , 18.95899  , 6.96498   , 15.62338  , 11.82015  , 14.4725   , 3.26928   , 
135.4943  , 0.0       , 20.5057   , 7.08656   , 15.96952  , 11.82464  , 14.32015  , 2.95042   , 
133.91332 , 0.0       , 22.08668  , 7.20724   , 16.31358  , 11.82887  , 14.16673  , 2.63587   , 
132.29827 , 0.0       , 23.70173  , 7.32702   , 16.65553  , 11.83286  , 14.01232  , 2.32555   , 
130.64937 , 0.0       , 25.35063  , 7.44589   , 16.99534  , 11.83665  , 13.857    , 2.01937   , 
128.96683 , 0.0       , 27.03317  , 7.56388   , 17.33299  , 11.84027  , 13.70084  , 1.71726   , 
127.25087 , 0.0       , 28.74913  , 7.68097   , 17.66846  , 11.84374  , 13.54389  , 1.41914   , 
125.50169 , 0.0       , 30.49831  , 7.79718   , 18.00171  , 11.84709  , 13.38624  , 1.12493   , 
123.71952 , 0.0       , 32.28048  , 7.91251   , 18.33274  , 11.85034  , 13.22794  , 0.83457   , 
121.90458 , 0.0       , 34.09542  , 8.02696   , 18.66151  , 11.85352  , 13.06906  , 0.54798   , 
120.05709 , 0.0       , 35.94291  , 8.14055   , 18.98802  , 11.85665  , 12.90966  , 0.2651    , 
118.17728 , 0.0       , 37.82272  , 8.25327   , 19.31224  , 11.85976  , 12.74979  , -0.01415  , 
116.26536 , 0.0       , 39.73464  , 8.36514   , 19.63416  , 11.5868   , 12.5873   , -0.01379  , 
114.32158 , 0.0       , 41.67842  , 8.47203   , 19.95368  , 11.32012  , 12.42594  , -0.01343  , 
112.34617 , 0.0       , 43.65383  , 8.57405   , 20.27079  , 11.05958  , 12.26572  , -0.01308  , 
110.33936 , 0.0       , 45.66064  , 8.67135   , 20.58547  , 10.80504  , 12.10668  , -0.01274  , 
108.3014  , 0.0       , 47.6986   , 8.76406   , 20.89772  , 10.55636  , 11.94883  , -0.01241  , 
106.23252 , 0.0       , 49.76748  , 8.85229   , 21.20752  , 10.3134   , 11.7922   , -0.01209  , 
104.13298 , 0.0       , 51.86702  , 8.93617   , 21.51485  , 10.07604  , 11.63681  , -0.01177  , 
102.00301 , 0.0       , 53.99699  , 9.01582   , 21.81971  , 9.84414   , 11.48267  , -0.01146  , 
99.84286  , 0.0       , 56.15714  , 9.09136   , 22.1221   , 9.61757   , 11.32981  , -0.01117  , 
97.65277  , 0.0       , 58.34723  , 9.16289   , 22.422    , 9.39622   , 11.17824  , -0.01088  , 
95.43299  , 0.0       , 60.56701  , 9.23053   , 22.7194   , 9.17997   , 11.02797  , -0.01059  , 
93.18377  , 0.0       , 62.81623  , 9.29439   , 23.01432  , 8.96869   , 10.87902  , -0.01032  , 
90.90535  , 0.0       , 65.09465  , 9.35456   , 23.30674  , 8.76228   , 10.73141  , -0.01005  , 
88.59799  , 0.0       , 67.40201  , 9.41116   , 23.59665  , 8.56062   , 10.58513  , -0.00979  , 
86.26192  , 0.0       , 69.73808  , 9.46428   , 23.88407  , 8.36359   , 10.44021  , -0.00953  , 
83.8974   , 0.0       , 72.1026   , 9.51402   , 24.16899  , 8.17111   , 10.29665  , -0.00929  , 
81.50467  , 0.0       , 74.49533  , 9.56047   , 24.4514   , 7.98305   , 10.15446  , -0.00904  , 
79.08398  , 0.0       , 76.91602  , 9.60374   , 24.73132  , 7.79932   , 10.01365  , -0.00881  , 
76.63558  , 0.0       , 79.36442  , 9.6439    , 25.00875  , 7.61982   , 9.87422   , -0.00858  , 
74.15971  , 0.0       , 81.84029  , 9.68104   , 25.28368  , 7.44446   , 9.73618   , -0.00836  , 
71.65663  , 0.0       , 84.34337  , 9.71526   , 25.55613  , 7.27313   , 9.59953   , -0.00814  , 
69.12657  , 0.0       , 86.87343  , 9.74664   , 25.82609  , 7.10574   , 9.46428   , -0.00793  , 
66.56979  , 0.0       , 89.43021  , 9.77525   , 26.09358  , 6.9422    , 9.33043   , -0.00772  , 
63.98652  , 0.0       , 92.01348  , 9.80118   , 26.3586   , 6.78243   , 9.19798   , -0.00752  , 
61.37702  , 0.0       , 94.62298  , 9.82451   , 26.62115  , 6.62634   , 9.06694   , -0.00733  , 
58.74153  , 0.0       , 97.25847  , 9.84531   , 26.88125  , 6.47384   , 8.93729   , -0.00714  , 
56.08028  , 0.0       , 99.91972  , 9.86365   , 27.13891  , 6.32485   , 8.80905   , -0.00695  , 
53.39353  , 0.0       , 102.60647 , 9.87961   , 27.39413  , 6.17928   , 8.68222   , -0.00677  , 
50.68151  , 0.0       , 105.31849 , 9.89327   , 27.64692  , 6.03707   , 8.55678   , -0.00659  , 
47.94447  , 0.0       , 108.05553 , 9.90468   , 27.89729  , 5.89813   , 8.43274   , -0.00642  , 
45.18264  , 0.0       , 110.81736 , 9.91391   , 28.14525  , 5.76239   , 8.31011   , -0.00625  , 
