N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 24, 160, 0, 0, 6, 2, 6, 2, 
200, 8, 10, 160, 0, 0, 11, 4, 11, 4, 
200, 8, -4, 160, 0, 0, 17, 5, 17, 5, 
200, 8, -14, 160, 0, 0, 19, 8, 19, 8, 
200, 8, -22, 160, 0, 0, 22, 9, 22, 9, 
200, 8, -20, 160, 0, 0, 25, 9, 19, 7, 
200, 8, -13, 160, 0, 0, 25, 9, 14, 5, 
200, 8, -8, 160, 0, 0, 25, 10, 9, 4, 
200, 8, -8, 160, 0, 0, 25, 11, 7, 5, 
200, 8, -4, 160, 0, 0, 25, 11, 4, 4, 
200, 8, -4, 160, 0, 0, 23, 14, 2, 5, 
200, 8, -6, 160, 0, 0, 23, 14, 2, 7, 
200, 8, -5, 160, 0, 0, 23, 14, 1, 7, 
200, 8, -1, 160, 0, 0, 21, 16, 1, 3, 
200, 8, -8, 160, 0, 0, 22, 17, 3, 6, 
200, 8, -11, 160, 0, 0, 23, 17, 3, 8, 
200, 8, -10, 160, 0, 0, 23, 17, 4, 6, 
200, 8, -13, 160, 0, 0, 22, 18, 4, 9, 
200, 8, -16, 160, 0, 0, 21, 19, 5, 11, 
200, 8, -12, 160, 0, 0, 21, 19, 3, 9, 
200, 8, -9, 160, 0, 0, 22, 18, 3, 6, 
200, 8, -9, 160, 0, 0, 22, 18, 3, 6, 
200, 8, -8, 160, 0, 0, 21, 19, 5, 3, 
200, 8, -6, 160, 0, 0, 21, 19, 4, 2, 
200, 8, -5, 160, 0, 0, 21, 19, 4, 1, 
200, 8, -4, 160, 0, 0, 21, 19, 3, 1, 
200, 8, -4, 160, 0, 0, 21, 19, 3, 1, 
200, 8, -2, 160, 0, 0, 21, 19, 1, 1, 
200, 8, -1, 159, 1, 0, 21, 19, 1, 0, 
200, 8, -2, 158, 2, 0, 20, 20, 1, 1, 
200, 8, -5, 158, 2, 0, 20, 20, 2, 3, 
200, 8, -4, 158, 2, 0, 18, 22, 1, 3, 
200, 8, -7, 158, 2, 0, 17, 23, 1, 6, 
200, 8, -9, 158, 2, 0, 17, 23, 2, 7, 
200, 8, -9, 158, 2, 0, 17, 23, 2, 7, 
200, 8, -8, 158, 2, 0, 17, 23, 1, 7, 
200, 8, -9, 158, 2, 0, 17, 23, 1, 8, 
200, 8, -9, 157, 2, 1, 16, 24, 1, 8, 
200, 8, -8, 156, 3, 1, 14, 26, 0, 8, 
200, 8, -10, 155, 4, 1, 13, 27, 0, 10, 
200, 8, -9, 154, 4, 2, 13, 27, 0, 9, 
200, 8, -12, 154, 4, 2, 13, 27, 2, 10, 
200, 8, -12, 154, 4, 2, 13, 27, 3, 9, 
200, 8, -11, 154, 4, 2, 13, 27, 3, 8, 
200, 8, -8, 154, 4, 2, 13, 27, 3, 5, 
200, 8, -7, 153, 5, 2, 13, 27, 3, 4, 
200, 8, -6, 153, 5, 2, 12, 28, 1, 5, 
200, 8, -3, 152, 5, 3, 11, 28, 0, 4, 
200, 8, -4, 151, 5, 4, 11, 28, 0, 5, 
200, 8, -5, 150, 6, 4, 10, 29, 1, 5, 
200, 8, -6, 150, 6, 4, 10, 29, 1, 6, 
200, 8, -5, 150, 6, 4, 9, 30, 1, 5, 
200, 8, -7, 150, 6, 4, 9, 30, 1, 7, 
200, 8, -6, 149, 6, 5, 9, 30, 1, 6, 
200, 8, -6, 148, 6, 6, 9, 30, 0, 7, 
200, 8, -6, 148, 6, 6, 8, 31, 1, 6, 
200, 8, -7, 146, 7, 7, 8, 31, 1, 7, 
200, 8, -5, 143, 8, 9, 8, 31, 1, 5, 
200, 8, -5, 142, 8, 10, 8, 31, 1, 5, 
200, 8, -4, 141, 9, 10, 8, 31, 1, 4, 
200, 8, -3, 141, 9, 10, 8, 31, 0, 4, 
200, 8, 0, 140, 9, 11, 8, 31, 0, 1, 
200, 8, -1, 140, 9, 11, 8, 31, 0, 2, 
200, 8, -1, 137, 9, 14, 8, 31, 0, 2, 
200, 8, -2, 135, 9, 16, 8, 31, 0, 3, 
200, 8, -3, 133, 10, 17, 8, 31, 0, 4, 
200, 8, -4, 132, 11, 17, 8, 31, 0, 5, 
200, 8, -2, 131, 11, 18, 8, 31, 0, 3, 
200, 8, -3, 129, 11, 20, 7, 32, 0, 4, 
200, 8, -3, 128, 12, 20, 7, 32, 0, 4, 
200, 8, -2, 128, 12, 20, 7, 32, 0, 3, 
200, 8, -2, 125, 12, 23, 7, 32, 0, 3, 
200, 8, -2, 124, 12, 24, 7, 32, 0, 3, 
200, 8, -2, 121, 12, 27, 7, 32, 0, 3, 
200, 8, -1, 119, 12, 29, 6, 33, 0, 2, 
200, 8, -2, 118, 13, 29, 6, 33, 0, 3, 
200, 8, -2, 117, 14, 29, 6, 33, 0, 3, 
200, 8, -2, 114, 15, 31, 6, 33, 0, 3, 
200, 8, -2, 112, 15, 33, 6, 33, 0, 3, 
200, 8, -3, 112, 15, 33, 6, 33, 0, 4, 
200, 8, -3, 112, 15, 33, 6, 33, 0, 4, 
200, 8, -2, 110, 15, 35, 6, 33, 0, 3, 
200, 8, -3, 109, 15, 36, 6, 33, 0, 4, 
200, 8, -2, 106, 15, 39, 6, 33, 0, 3, 
200, 8, -1, 102, 16, 42, 6, 33, 0, 2, 
200, 8, -1, 100, 17, 43, 5, 34, 0, 2, 
200, 8, -3, 99, 18, 43, 5, 34, 1, 3, 
200, 8, -3, 97, 19, 44, 5, 34, 1, 3, 
200, 8, -6, 95, 19, 46, 5, 34, 1, 6, 
200, 8, -6, 94, 20, 46, 5, 34, 1, 6, 
200, 8, -5, 93, 20, 47, 5, 34, 1, 5, 
200, 8, -4, 90, 20, 50, 5, 34, 0, 5, 
200, 8, -3, 87, 20, 53, 5, 34, 0, 4, 
200, 8, -1, 84, 20, 56, 5, 34, 0, 2, 
200, 8, -1, 80, 21, 59, 5, 34, 0, 2, 
200, 8, -3, 79, 21, 60, 5, 34, 0, 4, 
200, 8, -5, 78, 22, 60, 5, 34, 0, 6, 
200, 8, -7, 76, 23, 61, 5, 34, 0, 8, 
200, 8, -6, 74, 23, 63, 5, 34, 0, 7, 
200, 8, -6, 73, 24, 63, 5, 34, 0, 7, 
200, 8, -4, 71, 24, 65, 5, 34, 0, 5, 
200, 8, 0, 69, 24, 67, 4, 34, 0, 2, 
200, 8, 2, 66, 24, 70, 4, 34, 0, 0, 
