"N","Q","S","P0","P1","P2","R1","R2","A1","A2","t"
200,8,40,159.958980379168,1.76386945236419e-05,0,0,0,0,0,1
200,8,24,159.967262491823,8.78945681387646e-06,0,7.98067276763437,7.92701259183443,5.00000000095761,3.0000000002761,2
200,8,4,159.97568349494,0,0,10.7781869144478,8.96691280416701,11.999999999381,5.99999999942944,3
200,8,0,159.984484179459,0,0,13.3377955943639,9.9948205077112,16.9999999999146,8.00000000040156,4
200,8,0,159.993949510558,0,0,15.5359129780249,11.002168894651,18.9999999998874,11.0000000000338,5
200,8,0,160.004431338024,0,0,17.3270944577398,11.9789303958853,19.0000000001974,14.999999999905,6
200,8,0,160.016297952446,0,0,18.6977379011199,12.9150023876097,19.0000000001974,14.999999999905,7
200,8,0,160.029902064777,0,0,19.6860254811713,13.802042748125,7.22771863220631,8.63854947422102,8
200,8,0,160.045538272646,0,0,20.3526690441976,14.6343993298856,6.36705236709916,7.73889566010114,9
200,8,0,160.063434079365,0,0,20.7592973791836,15.4076049079507,5.56425857381256,6.88451714803222,10
200,8,0,160.083606443941,0,0,20.9609845424266,16.1195321092641,4.84515653155581,6.10549118381739,11
200,8,0,160.10596509978,0.000118336477597017,0,21.00984231081,16.7689471234462,4.22121817032323,5.43300181583203,12
200,8,0,160.130118187538,0.000376618981354148,0,20.9514947726338,17.3560287017967,3.69508401007087,4.88276227127602,13
200,8,0,160.155286319687,0.000767858167613749,0,20.8254692054877,17.8819768467577,3.26628121760414,4.46123727778038,14
200,8,0,160.180430416283,0.00129367051477874,0,20.6676869803955,18.3484832909261,2.92747775804292,4.15469492130699,15
200,8,0,160.203805566341,0.00187867612415125,0,20.5044190565852,18.7584940360816,2.66976423273187,3.94124906363071,16
200,8,0,160.223349947158,0.00240603619854584,0,20.3570617398416,19.1154785554124,2.4847605628807,3.78836910703369,17
200,8,0,160.236268367247,0.00262573849074261,0,20.2358976593654,19.4238492444109,2.36414239946651,3.66752257237391,18
200,8,0,160.238938969472,0.0020882240165684,0,20.1436854954295,19.6886416260902,2.29905013280269,3.55583023018833,19
200,8,0,160.227302710706,0.000261623074042804,0,20.0808783791416,19.9150679184959,2.27856481742632,3.44592266738444,20
200,8,0,160.196238015564,0,0.126092872676237,20.0437691433801,20.1086338963957,2.29151072552604,3.3370298963064,21
200,8,0,160.14020421109,0,0.323694860640239,20.0274311325101,20.2749073280913,2.32856871038028,3.23857183063581,22
200,8,0,160.052953457464,0,0.535316879470335,20.0261056465898,20.4193660496702,2.38397517569323,3.1598984192431,23
200,8,0,159.927711214951,0,0.761911501837872,20.0333970177914,20.5472991030651,2.45339064695319,3.10903428015671,24
200,8,0,159.757698093915,0,1.00441768006731,20.0425665632284,20.6638297994735,2.53479061253135,3.09024153821177,25
200,8,0,159.536488540516,0,1.26373211321857,20.0459610937081,20.7735959256608,2.62641420618182,3.10214254751869,26
200,8,0,159.258111967394,0,1.54072888290617,20.0355076067708,20.8810064663871,2.72589690751996,3.14096798506293,27
200,8,0,158.918362969674,0,1.83622340222123,20.0022040512454,20.9899109377754,2.82879568129999,3.19839424325181,28
200,8,0,158.514599259532,0.00473521422111271,2.15097722210025,19.936199981477,21.1035322948595,2.92941605845919,3.26516627659353,29
200,8,0,158.04504023909,0.102599942663271,2.48572537973449,19.8279427312309,21.2247189741048,3.01870664691394,3.33497213884017,30
200,8,0,157.510155460719,0.263426343383853,2.8411386653594,19.6697279597455,21.3553404778959,3.08516543902124,3.41016528203741,31
200,8,0,156.912127666808,0.496998055284965,3.2178542696578,19.4559888880327,21.4968149805517,3.11677750138812,3.49562977343248,32
200,8,0,156.257627632281,0.793143873017619,3.61643774225265,19.1887109800026,21.6495735015315,3.10119500807961,3.59791387603072,33
200,8,0,155.554018475461,1.12105580511406,4.03743113573366,18.8749564650768,21.813197359039,3.02743822212289,3.72231168562414,34
200,8,0,154.80795312556,1.44892343352646,4.48137058643021,18.523525500565,21.9869262297851,2.89242159641994,3.86577149737586,35
200,8,0,154.023702064405,1.75761791394634,4.9487745248501,18.1467686702217,22.169276331217,2.70286666190717,4.01691164622682,36
200,8,0,153.204165895464,2.03896881619835,5.44015485924899,17.7588495635373,22.3584960843499,2.46940883877044,4.16104321980437,37
200,8,0,152.348971755311,2.31127432501111,5.95601439116418,17.3774075303175,22.5524881677377,2.21006302008683,4.27860856081737,38
200,8,0,151.456266910665,2.58188677425541,6.49685093221074,17.0201039747602,22.7490762643394,1.94498777402022,4.3552097017441,39
200,8,0,150.523804004103,2.85710548395522,7.06315466166621,16.7024576770139,22.946197931186,1.69311267812079,4.380080353091,40
200,8,0,149.54846278496,3.15775159030331,7.65538812358317,16.4323202657627,23.142238285576,1.46813262016231,4.35017893641169,41
200,8,0,148.527937688207,3.50803107300944,8.27399072343414,16.2128754092942,23.335846652278,1.28083070051013,4.26732995151801,42
200,8,0,147.464054579405,3.9257492398443,8.91933787633703,16.0359647162563,23.5263576666895,1.13446051656617,4.1458555845835,43
200,8,0,146.359671412256,4.4067928687001,9.59179248259895,15.8893291446899,23.7135624456719,1.02620437834308,4.00604525978225,44
200,8,0,145.217257422021,4.93795721294711,10.2917201405109,15.76097567185,23.8973956495332,0.951673493912935,3.86828507721798,45
200,8,0,144.037727791014,5.49134434722109,11.0194935253366,15.6413248299257,24.0780619483067,0.904662836010506,3.75031550320869,46
200,8,0,142.821101597369,6.04315207703815,11.7754840472026,15.5234030908368,24.2558105164178,0.878715868563872,3.66648449305937,47
200,8,0,141.565243198413,6.59452449545829,12.5600501754127,15.408630830437,24.4308146729187,0.868254709000193,3.61793261795501,48
200,8,0,140.267011932307,7.12985546225717,13.3735441316854,15.3019657753573,24.6032892859562,0.868177838328149,3.59393745109924,49
200,8,0,138.922338925204,7.63530660318327,14.2163119819281,15.2067626417864,24.7735517173148,0.87299422000132,3.58078223505165,50
200,8,0,137.523939883441,8.12862986672449,15.0886783820082,15.118429304362,24.9422647561953,0.875370781939777,3.56366387619294,51
200,8,0,136.064569061757,8.63817468805859,15.990943562099,15.0297460019063,25.1101947777466,0.867475874083159,3.53410428804374,52
200,8,0,134.540326229102,9.20502531468876,16.9233249826808,14.930915002165,25.2781525121743,0.842697795885164,3.48740881196635,53
200,8,0,132.948057160886,9.88070665334454,17.8859951232226,14.8114405699979,25.4468676735051,0.799345251892612,3.42698013675945,54
200,8,0,131.285767827824,10.7039559922376,18.879103725998,14.6621090110508,25.6169470687598,0.73822343887577,3.35858771133651,55
200,8,0,129.556201378756,11.6546193922869,19.9027354923245,14.4788918715716,25.7886041222097,0.665404935068768,3.28890468038015,56
200,8,0,127.764243840951,12.684949929596,20.9569461773246,14.2613223076473,25.9618371525612,0.589035980308545,3.22308262281454,57
200,8,0,125.918253520016,13.7023648651298,22.04172727892,14.0202368434584,26.1360747684517,0.517028862790257,3.16515822938966,58
200,8,0,124.026099076356,14.6279908691834,23.15700355557,13.7777059802313,26.3102181364007,0.455552793489284,3.11657262717282,59
200,8,0,122.093637988993,15.409414353674,24.3026701698142,13.5546610743417,26.4831568661571,0.409790793043916,3.07735030274208,60
200,8,0,120.120131240519,16.0734811096845,25.4785579540212,13.3585082254069,26.6541450226288,0.382411625266652,3.04497203506048,61
200,8,0,118.103507497379,16.6706803795072,26.684459516372,13.1909396542574,26.8226043392892,0.37428334214907,3.01826001616045,62
200,8,0,116.041896467036,17.2679335656751,27.9200792992599,13.0439744799988,26.9882711231751,0.385428031493364,2.99724040337018,63
200,8,0,113.929479901605,17.9404616154144,29.1851012066053,12.9059278837927,27.1509916539433,0.413734215132954,2.98464605256283,64
200,8,0,111.760297184231,18.7485872988495,30.4791925056372,12.7653161122042,27.3105902772576,0.456054715608006,2.98446559437562,65
200,8,0,109.532082985496,19.6885697394226,31.8019523136488,12.6128310467591,27.466770184965,0.507229163677686,3.00176669878267,66
200,8,0,107.245009093244,20.72719623174,33.1529439788418,12.441729042879,27.6191253557544,0.561579039993063,3.03724669118857,67
200,8,0,104.906495159623,21.783504343474,34.5316265977189,12.2541911499499,27.7668980094215,0.613845013119973,3.08912231760582,68
200,8,0,102.530252862938,22.7873714920311,35.9373232340963,12.0577887158897,27.9091072007513,0.66087991710477,3.14977656367948,69
200,8,0,100.130088229875,23.6907205581977,37.3693145759925,11.8605507004238,28.0447567307282,0.701638020542975,3.2069056468515,70
200,8,0,97.7154059498709,24.509360509381,38.8268291093163,11.668966777132,28.1729336254421,0.735552406303669,3.24843835558347,71
200,8,0,95.2935170790396,25.271444424447,40.3090867364693,11.4908589203774,28.2927079441577,0.762293128292529,3.26667731240083,72
200,8,0,92.8659813529045,25.9986412261253,41.8153349423919,11.3385069376205,28.4031131232295,0.781308307569784,3.2558254197201,73
200,8,0,90.4262527098698,26.7410943655573,43.344864536877,11.2162651339179,28.5036027038932,0.791289184018226,3.21425458335322,74
200,8,0,87.9663467740558,27.54574361054,44.896971116882,11.1246172622329,28.5938540116888,0.79211710687988,3.14491040206709,75
200,8,0,85.4796384105528,28.4146120568858,46.4709305701925,11.0582074918784,28.6739816313899,0.784324380017494,3.05148488212771,76
200,8,0,82.9613420733927,29.3303021425729,48.0659976603918,11.0099166498103,28.744260002905,0.769575840812884,2.93688878821779,77
200,8,0,80.4136153051456,30.2492397802892,49.6813430855989,10.971410635293,28.8051986353002,0.749358490274392,2.80463043720882,78
200,8,0,77.8438913220475,31.1460171291311,51.3160442357211,10.9340473334851,28.857489209369,0.723594205969921,2.66120297468849,79
200,8,0,75.2601990541517,32.0093468304886,52.9691548706236,10.8896693934974,28.9018887937256,0.692858918004113,2.51314592233988,80
200,8,0,72.6691743918156,32.8580657186776,54.6397113413079,10.8320630879114,28.9392843768654,0.658247332697821,2.36684920886845,81
200,8,0,70.0770343985486,33.7083282797569,56.3267513133537,10.7558950139107,28.9706049655719,0.622247291391561,2.22861381534998,82
200,8,0,67.4882424029252,34.5425138024457,58.0293477163418,10.6590965995243,28.9968209053731,0.589318865848818,2.10382950267093,83
200,8,0,64.901305297641,35.3611017334324,59.7466295339432,10.5467423151466,29.0189248220167,0.563892675998516,1.99746661253174,84
200,8,0,62.313079056906,36.1693913228143,61.4777417616519,10.4268355351619,29.0379085433854,0.54854932465206,1.91376605872293,85
200,8,0,59.7197018499404,36.9636474798667,63.2218430549583,10.3123466262854,29.0547479640013,0.544840931979316,1.8563726936073,86
200,8,0,57.1183950773885,37.7375952835025,64.9780812582258,10.2154422305232,29.0704073449723,0.551490697196783,1.82627232094238,87
200,8,0,54.5123669631538,38.483155883123,66.7455374285421,10.1395661470581,29.0858100714373,0.564395811139879,1.82002011681849,88
