"S","A1","A2","P1","P2","R1","R2","t","Q","N"
43.0234852735195,2.40328764438014e-05,-9.35529993917154e-06,4.02374760310707e-08,-8.93007266061612e-10,-5.82825913963477e-05,-0.00490358991387091,1,8,200
43.0010516271571,4.47205654958296e-05,-1.39235070588904e-05,4.02374760310707e-08,-2.65480185111981e-09,-0.000180007357697532,-0.00967418573838092,2,8,200
42.978618066058,6.2068761520388e-05,-1.3855699104429e-05,4.02374760310707e-08,-5.26074147261688e-09,-0.000363143150812067,-0.0143094683881866,3,8,200
42.9561849010195,7.60830257616374e-05,-9.29816172938816e-06,4.02374760310707e-08,-8.68576681245214e-09,-0.000605630219355954,-0.0188071478804851,4,8,200
42.9337524346074,8.67687908078679e-05,-3.92263438926156e-07,4.02374760310707e-08,-1.29044069573133e-08,-0.000905380542852519,-0.0231649641058631,5,8,200
42.9113209610765,9.41313651923849e-05,1.27256685303464e-05,4.02374760310707e-08,-1.78907849794192e-08,-0.00126027817584162,-0.0273806875993092,6,8,200
42.8888907662925,9.81759381301088e-05,2.99244712607481e-05,4.02374760310707e-08,-2.36186236576668e-08,-0.00166817960220918,-0.0314521203111873,7,8,200
42.8664621276558,9.89075843888371e-05,5.10782679974484e-05,4.02374760310707e-08,-3.00612513391352e-08,-0.00212691410005413,-0.0353770963779535,8,8,200
42.8440353140256,9.63312692939521e-05,7.60665886494084e-05,4.02374760310707e-08,-3.71916079408605e-08,-0.00263428411739545,-0.0391534828923895,9,8,200
42.8216105856472,9.04518538652264e-05,0.000104774488808916,4.02374760310707e-08,-4.4982251091747e-08,-0.00318806565903716,-0.0427791806731154,10,8,200
42.7991881940796,8.1274100084181e-05,0.000137092667150427,4.02374760310707e-08,-5.34053624144415e-08,-0.0037860086848932,-0.0462521250331315,11,8,200
42.776768382125,6.88026762903446e-05,0.000172917581069046,4.02374760310707e-08,-6.24327539469439e-08,-0.00442583752007559,-0.0495702865471291,12,8,200
42.7543513837608,5.3042162704555e-05,0.000212151560417118,4.02374760310707e-08,-7.20358747036816e-08,-0.00510525127704931,-0.0527316718172979,13,8,200
42.7319374240723,3.39970570773231e-05,0.0002547029191986,4.02374760310707e-08,-8.21858173757219e-08,-0.00582192429014917,-0.0557343242373469,14,8,200
42.7095267191874,1.16717804600802e-05,0.000300486065077995,4.02374760310707e-08,-9.28533251697432e-08,-0.00657350656275056,-0.0585763247544433,15,8,200
42.6871194762141,-1.39293169029768e-05,0.000349421606562731,4.02374760310707e-08,-1.04008798785331e-07,-0.00735762422738024,-0.0612557926287643,16,8,200
42.6647158931786,-4.28019495649477e-05,0.000401436457716084,4.02374760310707e-08,-1.15622303530105e-07,-0.00817188001905069,-0.0637708861903436,17,8,200
42.6423161589664,-7.49418907508212e-05,0.000456463940257401,4.02374760310707e-08,-1.27663576572125e-07,-0.00901385376209288,-0.066119803592885,18,8,200
42.6199204532648,-0.000110344966119395,0.000514443882908494,4.02374760310707e-08,-1.40102034328961e-07,-0.00988110287075693,-0.0683007835642003,19,8,200
42.5975289465078,-0.000149007047415487,0.000575322717842275,4.02374760310707e-08,-1.52906779992754e-07,-0.0107711628638399,-0.0703121061529245,20,8,200
42.575141799823,-0.00019092404601555,0.000639053574093029,4.02374760310707e-08,-1.66046611190511e-07,-0.0116815478935997,-0.0721520934711417,21,8,200
42.552759164981,-0.000236091906369968,0.000705596367785408,4.02374760310707e-08,-1.79490027778835e-07,-0.0126097512891965,-0.0738191104325513,22,8,200
42.5303811843468,-0.000284506599345472,0.000774917889042054,4.02374760310707e-08,-1.93205239772204e-07,-0.0135532461149038,-0.0753115654857888,23,8,200
42.5080079908337,-0.000336164115471259,0.000846991885429371,4.02374760310707e-08,-2.07160175403835e-07,-0.014509485743313,-0.076627911342507,24,8,200
42.4856397078595,-0.000391060458092573,0.00092179914180112,4.02374760310707e-08,-2.21322489318121e-07,-0.0154759044437538,-0.0777666456998106,25,8,200
42.4632764493054,-0.000449191636435647,0.000999327556403442,4.02374760310707e-08,-2.35659570893527e-07,-0.016449917986137,-0.0787263119566294,26,8,200
42.4409183194772,-0.000510553658588057,0.00107957221310164,4.02374760310707e-08,-2.50138552694758e-07,-0.0174289242604195,-0.0795054999236029,27,8,200
42.4185654130693,-0.000575142524398718,0.00116253544959406,4.02374760310707e-08,-2.64726319052958e-07,-0.0184103039118738,-0.0801028465260393,28,8,200
42.3962178151316,-0.000642954218301861,0.00124822692147931,4.02374760310707e-08,-2.79389514772569e-07,-0.0193914209923431,-0.0805170364995029,29,8,200
42.3738756010388,-0.000713984702069517,0.00133666366204223,4.02374760310707e-08,-2.94094553963458e-07,-0.0203696236276391,-0.0807468030775737,30,8,200
