t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2 S P0 P1 P2 R1 R2 A1 A2
0 200 8 -0.253572834338797 0.00692780641401214 -2.11739404535322e-08 0 0 0 0 0 42.8387883812758 157.989105970803 2.29720719299923e-08 0 0 0 0 0
1 200 8 -0.2318207822535 0.00638870140400627 -1.79813147646007e-09 0 0 0 0 0.0314720663708823 42.585215546937 157.996033777217 1.79813147646007e-09 0 0 0 0 0
2 200 8 -0.257977115598003 0.007215670145996 0 1.92905044899803e-05 0 0 0.0342817385068867 0.0881182426072667 42.3533947646835 158.002422478621 0 0 0 0 0 0.0314720663708823
3 200 8 -0.263024853901001 0.00749274579098369 0 8.96190136522887e-05 0 0 0.0721838226793143 0.088798594674297 42.0954176490855 158.009638148767 0 1.92905044899803e-05 0 0 0.0342817385068867 0.119590308978149
4 200 8 -0.245242505729998 0.00708399162900264 0 8.8875690316212e-05 0 0 0.066745720874934 0.081394361707245 41.8323927951845 158.017130894558 0 0.000108909518142269 0 0 0.106465561186201 0.208388903652446
5 200 8 -0.278293150059 0.00805248300500239 0 0.000107559613737718 0.0149606413630712 0 0.074869154757581 0.090175381975204 41.5871502894545 158.024214886187 0 0.000197785208458481 0 0 0.173211282061135 0.289783265359691
6 200 8 -0.262005857622697 0.00743076328399184 0 0.000107389616228527 0.0327167137864563 0.0101773110060816 0.069437031638365 0.08226279336796 41.3088571393955 158.032267369192 0 0.000305344822196199 0.0149606413630712 0 0.248080436818716 0.379958647334895
7 200 8 -0.2990146996557 0.00801303813000231 0 0.000128176263815385 0.0450486546470327 0.0520011051868309 0.077797216807577 0.0901407903899151 41.0468512817728 158.039698132476 0 0.000412734438424726 0.0476773551495275 0.0101773110060816 0.317517468457081 0.462221440702855
8 200 8 -0.310902332145105 0.00736665344399512 0 0.000136245489655446 0.0559497744130238 0.0682997548227715 0.079390279860586 0.088662769877381 40.7478365821171 158.047711170606 0 0.000540910702240111 0.0927260097965602 0.0621784161929125 0.395314685264658 0.55236223109277
9 200 8 -0.293316285165801 0.00553495315099894 0 0.00012660783094703 0.061176768463085 0.078301541458699 0.0740961170959379 0.07801688102867 40.436934249972 158.05507782405 0 0.000677156191895557 0.148675784209584 0.130478171015684 0.474704965125244 0.641025000970151
10 200 8 -0.335026281143499 0.00390986559702355 0 0.000134666751268817 0.078928523260745 0.105665486994781 0.084673086095933 0.0817030516677449 40.1436179648062 158.060612777201 0 0.000803764022842587 0.209852552672669 0.208779712474383 0.548801082221182 0.719041881998821
11 200 8 -0.317012152931198 0.000553100226994729 0 0.000108485103603056 0.081781010581959 0.114510165720251 0.0811162607443759 0.070154711217846 39.8085916836627 158.064522642798 0 0.000938430774111404 0.288781075933414 0.314445199469164 0.633474168317115 0.800744933666566
12 200 8 -0.364436140197796 -0.00412646833100894 0 8.891776929649e-05 0.099126969057834 0.145689523429538 0.09552660194836 0.073221114830147 39.4915795307315 158.065075743025 0 0.00104691587771446 0.370562086515373 0.428955365189415 0.714590429061491 0.870899644884412
13 200 8 -0.383471486296905 -0.010883281550008 0 3.645408083539e-05 0.105658529322144 0.163759035695679 0.104088186375503 0.0707168891113009 39.1271433905337 158.060949274694 0 0.00113583364701095 0.469689055573207 0.574644888618953 0.810117031009851 0.944120759714559
