t N Q S P0 P1 P2 R1 R2 A1 A2
0 200 8 42.8387883812758 157.989105970803 2.29720719299923e-08 0 0 0 0 0
1 200 8 42.585215546937 157.996033777217 1.79813147646007e-09 0 0 0 0 0
2 200 8 42.3533947646835 158.002422478621 0 0 0 0 0 0.0314720663708823
3 200 8 42.0954176490855 158.009638148767 0 1.92905044899803e-05 0 0 0.0342817385068867 0.119590308978149
4 200 8 41.8323927951845 158.017130894558 0 0.000108909518142269 0 0 0.106465561186201 0.208388903652446
5 200 8 41.5871502894545 158.024214886187 0 0.000197785208458481 0 0 0.173211282061135 0.289783265359691
6 200 8 41.3088571393955 158.032267369192 0 0.000305344822196199 0.0149606413630712 0 0.248080436818716 0.379958647334895
7 200 8 41.0468512817728 158.039698132476 0 0.000412734438424726 0.0476773551495275 0.0101773110060816 0.317517468457081 0.462221440702855
8 200 8 40.7478365821171 158.047711170606 0 0.000540910702240111 0.0927260097965602 0.0621784161929125 0.395314685264658 0.55236223109277
9 200 8 40.436934249972 158.05507782405 0 0.000677156191895557 0.148675784209584 0.130478171015684 0.474704965125244 0.641025000970151
10 200 8 40.1436179648062 158.060612777201 0 0.000803764022842587 0.209852552672669 0.208779712474383 0.548801082221182 0.719041881998821
11 200 8 39.8085916836627 158.064522642798 0 0.000938430774111404 0.288781075933414 0.314445199469164 0.633474168317115 0.800744933666566
12 200 8 39.4915795307315 158.065075743025 0 0.00104691587771446 0.370562086515373 0.428955365189415 0.714590429061491 0.870899644884412
13 200 8 39.1271433905337 158.060949274694 0 0.00113583364701095 0.469689055573207 0.574644888618953 0.810117031009851 0.944120759714559
14 200 8 38.7436719042368 158.050065993144 0 0.00117228772784634 0.575347584895351 0.738403924314632 0.914205217385354 1.01483764882586
15 200 8 38.3762221684635 158.032516106444 0 0.00113762590885512 0.675328429198187 0.89845200087435 1.01756287867685 1.07918422513246
16 200 8 37.9489636434326 158.002601940278 1.00647661214176e-07 0.000995329965047472 0.789548200361543 1.07962970528997 1.14151250950998 1.15314190184523
17 200 8 37.5379801767032 157.963721124217 2.39869726960851e-07 0.000740980243663315 0.898387136649037 1.24330434158309 1.26334081166537 1.22589332436859
18 200 8 37.0598087142315 157.905774102343 4.38734606887683e-07 0.000285141234036167 1.02581948662118 1.419012839697 1.40658303702276 1.3141365688839
19 200 8 36.5534920697837 157.829679722111 6.90289564292996e-07 0 1.16408287495476 1.59029624751854 1.55830715095331 1.4121152058527
20 200 8 36.0687996978843 157.74318271003 9.67121491675185e-07 0 1.30145899887164 1.74452668839423 1.70225439210244 1.5096028650701
21 200 8 35.5100511403247 157.628002035968 1.32423627886448e-06 0 1.46722711003712 1.91697251184604 1.86525692011323 1.62484210415067
22 200 8 34.9271439181196 157.492018505922 1.73153587650655e-06 0 1.64881446938851 2.0981204860862 2.03064495085936 1.74602385931058
23 200 8 34.3786871820504 157.351966807898 2.13590142999928e-06 0 1.82644194405139 2.27568178263604 2.18105850157813 1.85889725315438
24 200 8 33.7565257738908 157.183839036524 2.60025035444524e-06 0 2.03400052937917 2.49062218447247 2.34512040628924 1.983479561941
25 200 8 33.1741258727188 157.024192676962 3.0162334352507e-06 0 2.23285692694008 2.70759761450397 2.49233087218176 2.09497139255523
26 200 8 32.5147538321577 156.850363971131 3.42879277194244e-06 0 2.46162540705915 2.97214735514928 2.65192758478332 2.21344980129904
27 200 8 31.8353697396253 156.68650314628 3.74018142761361e-06 0 2.69856938475628 3.26283508642296 2.80930899189114 2.32634163347872
28 200 8 31.2006858072503 156.550023111882 3.87535220383287e-06 0 2.91731336027326 3.54690676716878 2.95064709881403 2.42406387439736
29 200 8 30.4854407210988 156.414788282246 3.77887947166746e-06 0 3.15693650142431 3.87879068568352 3.10350535393947 2.52655171673828
30 200 8 29.8219889623153 156.304346542516 3.38129555754072e-06 0 3.37263938886479 4.19750533270978 3.23812965719132 2.61587490999108
31 200 8 29.081155485812 156.19361779703 2.48818445630106e-06 0 3.60982090579415 4.56493906437895 3.37781585840207 2.71143401322776
32 200 8 28.3326698184962 156.089647708625 9.82261472555711e-07 0 3.8520909350446 4.94493691823539 3.50464084998643 2.80655012510564
33 200 8 27.6484308526869 155.996315462946 0 0 4.08274536109151 5.29695952953827 3.60622475419717 2.89447681005422
34 200 8 26.8941264623616 155.889400686191 0 0 4.35380849775064 5.68700765792794 3.70164098539486 2.99440469363761
35 200 8 26.208693039259 155.783473731912 0 0 4.6184947158948 6.04072547297574 3.77395846129283 3.08930655633499
36 200 8 25.4566569403642 155.652292715984 0 0.00116691839803544 4.92818848023971 6.4262869142461 3.83979262568533 3.19911668831101
37 200 8 24.707914720355 155.501480066862 0 0.0201672858318012 5.25157917104137 6.80776091109676 3.89514841268737 3.31499134378575
38 200 8 24.0309291620486 155.34499535172 0 0.0434042476289326 5.55444645298561 7.1527982221821 3.94022658453685 3.425029837549
39 200 8 23.2914256293284 155.150159467487 0 0.0764111496979614 5.90082160816126 7.53340011626468 3.98766570294311 3.54966452323743
40 200 8 22.5590351572544 154.92936762737 0 0.117936603395399 6.2678227594042 7.91830945592542 4.03608139204876 3.67580579211585
41 200 8 21.9012656209818 154.703674206046 0 0.163400311623451 6.6222279667671 8.27354040702184 4.08370021846829 3.78946002174952
42 200 8 21.1891131288138 154.425541859012 0 0.22172873842209 7.03251594161333 8.6711381244641 4.14304936357509 3.91030624029823
43 200 8 20.5548075305858 154.144564518957 0 0.28154947081155 7.41765040836312 9.03861831639792 4.20556477445246 4.01342444054539
44 200 8 19.8744481481442 153.804932071939 0 0.352999665785983 7.84272171631665 9.44646452672146 4.28546415669151 4.11705152396958
45 200 8 19.2140343634939 153.433914611036 0 0.427384498689874 8.2514130862873 9.851979937117 4.37824684089522 4.20993145912797
46 200 8 18.6310985644189 153.070715162249 0 0.495663032635475 8.59488527805807 10.2128891927372 4.47368083888125 4.28567829550217
47 200 8 18.00809197025 152.645602822937 0 0.571769304262742 8.93520694916325 10.5968577049425 4.58869633926749 4.36055011255764
48 200 8 17.4566165288883 152.238454788736 0 0.644010766486689 9.2108090587015 10.9308702910727 4.69948137422493 4.42210483330705
49 200 8 16.8636839745045 151.767588138663 0 0.73110962454946 9.4787123586354 11.2785895680513 4.82498342271084 4.48426832731703
50 200 8 16.2823222328241 151.267066945911 2.57628322077916e-06 0.832304004207919 9.71182222796258 11.6072048788851 4.95097710568229 4.54137620798746
51 200 8 15.7622267603151 150.778533888789 5.92210475011661e-05 0.943455299447522 9.89468745958836 11.8943892652045 5.06302253276108 4.58776465762619
52 200 8 15.198232534457 150.19387618967 0.000143391047874208 1.09839380117269 10.0622399196769 12.2034556963394 5.18094340505739 4.6297457540583
53 200 8 14.6921365266608 149.608383879727 0.000242435258651542 1.28298622568721 10.1814068700509 12.4811246732393 5.28182539833933 4.65633976429138
54 200 8 14.1425366365029 148.8901888697 0.000378547650476039 1.55199049410712 10.2773030607023 12.7841956072077 5.38424417388804 4.66804763487387
55 200 8 13.6010693073199 148.076673470064 0.000544467334639534 1.90763830359151 10.3423808210744 13.086158424964 5.47578232517562 4.65536111782324
56 200 8 13.1168741832525 147.238424323875 0.00072083818754179 2.32001633415758 10.3827413305188 13.3591853266565 5.54757733267949 4.61793953926589
57 200 8 12.5944523957167 146.190403845143 0.000940207837867587 2.8885887367907 10.4147614854487 13.654647127102 5.61168967073315 4.54490653705684
58 200 8 12.1300974262223 145.110891199175 0.00115751456791646 3.52730445286037 10.4382841187096 13.9173841921596 5.65464857514762 4.44771759209159
59 200 8 11.6325655834595 143.777257645731 0.0014063523446402 4.3840104214309 10.4611008353671 14.2014787899531 5.68377503651029 4.30580280516535
60 200 8 11.15064058188 142.291602346275 0.00164972188711835 5.42055916398742 10.4799084027035 14.4812333918873 5.69365802907559 4.12811324079468
61 200 8 10.7274330982317 140.814844347785 0.0018471072079151 6.52980202922528 10.4936581235213 14.7285418189847 5.6864449506953 3.93830515435029
62 200 8 10.2796834921931 139.060220707689 0.00200976808293981 7.93987714351844 10.5045230586253 14.9879188168753 5.66242415677359 3.70238566919156
63 200 8 9.85226302109853 137.177735876141 0.00207733371211037 9.55082701176505 10.5093485342951 15.2281980052971 5.62436012918656 3.44262327638671
64 200 8 9.4831848217742 135.361717818045 0.00201545834239578 11.1864274148835 10.505446441116 15.4237603492547 5.58043934541981 3.19082029719626
65 200 8 9.10088264050954 133.255299440583 0.00175788712454674 13.1659733896445 10.4887341766819 15.6084650615816 5.52442831788682 2.90348810076121
66 200 8 8.77664965525817 131.24523188225 0.00129653298882247 15.116611453248 10.461476612595 15.7497962452013 5.46776396983434 2.63917170108378
67 200 8 8.44686097355651 128.93188905912 0.00046934498246671 17.4064619867891 10.4190608161099 15.8838148995694 5.39969459370511 2.35160357125381
68 200 8 8.14580531116594 126.51347995813 0 19.8227061035279 10.3637687040915 16.0053752131695 5.32558255321473 2.07367820468662
69 200 8 7.89718657664731 124.22714616615 0 22.1111673374488 10.3004284208422 16.1117246506907 5.25272138576086 1.83420977052975
70 200 8 7.65090690003391 121.618223154939 0 24.7168060395345 10.2124638307274 16.2326620216396 5.16641421974525 1.5893864729945
71 200 8 7.4507855779359 119.161459704906 0 27.1568343922803 10.1134195982652 16.3561336966573 5.08273432983439 1.38600368354929
72 200 8 7.25515212976925 116.362236393133 0 29.9073809567432 9.98407142942241 16.5205792040349 4.98605835353197 1.18462587206382
73 200 8 7.08305398636324 113.4547501629 0 32.7170899773081 9.83564985578005 16.7287145793817 4.8868158547968 1.0066981311401
74 200 8 6.94497531420128 110.713560284648 0 35.3193008818279 9.68473655651971 16.964392084327 4.79735055030795 0.86441698997446
75 200 8 6.81096639814094 107.588805130879 0 38.2350302547578 9.50106189512769 17.2799628094024 4.70352991154858 0.72747839444827
76 200 8 6.70337811961546 104.646767637206 0 40.9367686520747 9.31878873430256 17.6198089737465 4.62554434663323 0.61857543182293
77 200 8 6.59856159767137 101.292312584599 0 43.967673278974 9.09940393779294 18.0545644167891 4.55090420678928 0.513345053274173
78 200 8 6.50595809617729 97.8042051144124 0 47.0630235410506 8.85574966204681 18.5545922523402 4.49063140743279 0.421000181261802
79 200 8 6.43097720023663 94.5082984487927 0 49.9376137695981 8.61351160579292 19.0621479958633 4.44932532787912 0.346548395548946
80 200 8 6.35751169367183 90.7381633701202 0 53.1793906693763 8.33330919875969 19.6667904778292 4.41792396895274 0.273743393051112
81 200 8 6.29283915706583 86.8170744758543 0 56.5229482658015 8.0548701755184 20.3017903946624 4.39840390782758 0.209639445890457
82 200 8 6.24137752537563 83.1233381769336 0 59.6679080318182 7.8202032502942 20.8902329132686 4.38721065284865 0.158604848770821
83 200 8 6.19236406772553 78.9200160128509 0 63.2606680152836 7.60102316269601 21.5370591544863 4.37811334974111 0.110093426987607
84 200 8 6.15411705171235 74.9748540502816 0 66.659629094377 7.44993331530204 22.1152762740546 4.37024805666233 0.0725105462452558
85 200 8 6.11814744354994 70.5006477011829 0.0029859909836171 70.552589915222 7.34341491122184 22.7296485867752 4.36078534965168 0.0377728428462342
86 200 8 6.08755158936287 65.8854540419863 0.0375300132296123 74.6076734675019 7.29733716759461 23.3119168395433 4.35108333672107 0.00929391191607376
87 200 8 6.063446670743 61.570369525878 0.0797142555634704 78.4285136932054 7.29800480599159 23.8072716876846 4.34401930007243 0
88 200 8 6.04025042211713 56.7029169674115 0.139561601902501 82.7703739884717 7.32459255904538 24.3092317302369 4.34144384318178 0
89 200 8 6.02185255239261 52.1846260661449 0.207275042184506 86.8357590459578 7.35117630674838 24.7230688875025 4.34639479527525 0
90 200 8 6.00422197642909 47.1338569440849 0.297024964696905 91.4256630198133 7.36382009072736 25.1299235955793 4.36172196347614 0
91 200 8 5.9889345456158 42.017952954535 0.402449246479624 96.1222077313145 7.34774682049447 25.4868877948971 4.38785379214408 0
92 200 8 5.97672979457202 37.3204963996517 0.510444052822199 100.464818168693 7.30571931856409 25.7756614059226 4.42014295105067 0
93 200 8 5.96480114856664 32.1074386895462 0.639429158946402 105.298240112062 7.23333976679054 26.0675674242642 4.46299150681174 0
94 200 8 5.95501294975488 27.3328076216471 0.763032903461306 109.725299461844 7.1490957798077 26.3202629369684 4.50651594151262 0
95 200 8 5.94509109565103 22.0546613783787 0.904014140513365 114.619502640728 7.04349197913172 26.593983379694 4.55698357266474 0
96 200 8 5.93576441496551 16.7664602231258 1.04926238774242 119.532460555528 6.93297297428247 26.8724712173716 4.6077936942112 0
97 200 8 5.92759231098397 11.9598222787511 1.18452150199485 124.008627266998 6.83278535427513 27.1353425166693 4.65314074112094 0
98 200 8 5.90999011134098 1.38830185755041 1.48911100123728 133.858616915135 6.61597990566987 27.7415742852813 4.75041121910244 0
