t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2
0 150 0 0.00153358569521345 1.73230318978312e-11 0 0 -0.000348933317336119 -0.00118465237198654 0 0
1 150 0 0.0015330177951185 1.69251279658056e-11 0 0 -0.000349231711576845 -0.00118378607780397 0 0
2 150 0 0.00153118571774513 1.65414348884951e-11 0 0 -0.0003501141486582 -0.00118107156348699 0 0
3 150 0 0.00152772886379182 1.61151092470391e-11 0 0 -0.000351718114858769 -0.00117601074344271 0 0
4 150 0 0.00152178639014977 1.57740487338742e-11 0 0 -0.000354328656512717 -0.00116745772828971 0 0
5 150 0 0.00151244288692709 1.54187773659942e-11 0 0 -0.000358194264914381 -0.00115424861678257 0 0
6 150 0 0.00149917808659694 1.50777168528293e-11 0 0 -0.000363429505119151 -0.00113574857635236 0 0
7 150 0 0.00148065779820428 1.47792889038101e-11 0 0 -0.000370303592323715 -0.00111035420088351 0 0
8 150 0 0.00145631398078194 1.44098066812148e-11 0 0 -0.000378919730342487 -0.0010773942455463 0 0
9 150 0 0.00142494204066423 1.4139800441626e-11 0 0 -0.000389453063064529 -0.00103548897280491 0 0
10 150 0 0.001385241002545 1.38271616378915e-11 0 0 -0.000402065665817508 -0.000983175332027738 0 0
11 150 0 0.00133649809929182 1.34861011247267e-11 0 0 -0.000416826350015346 -0.000919671744696399 0 0
12 150 0 0.00127692874453089 1.31592514662771e-11 0 0 -0.00043388418600126 -0.000843044554068292 0 0
13 150 0 0.00120578553920581 1.28608235172578e-11 0 0 -0.000453292228201202 -0.000752493306640026 0 0
14 150 0 0.00112152831361101 1.2519763004093e-11 0 0 -0.00047512417994708 -0.000646404129406856 0 0
15 150 0 0.00102251517624552 1.22497567645041e-11 0 0 -0.00049943805196445 -0.000523077120115935 0 0
16 150 0 0.000907872058377279 1.19229071060545e-11 0 0 -0.000526246027009224 -0.000381626027324014 0 0
17 150 0 0.000775443324371849 1.16671117211808e-11 0 0 -0.000555554612219657 -0.000219888708192936 0 0
18 150 0 0.000624340107329147 1.12692077891552e-11 0 0 -0.000587356589885355 -3.69835136090138e-05 0 0
19 150 0 0.000452781086423215 1.09849906948511e-11 0 0 -0.000621600247819077 0.000168819165139431 0 0
20 150 0 0.000258890346486851 1.06865627458319e-11 0 0 -0.000658211404696174 0.00039932106183773 0 0
21 150 0 4.17009022797288e-05 1.04449782156735e-11 0 0 -0.000697129238875365 0.000655428340132033 0 0
22 150 0 -0.000201129230205765 1.00044417195022e-11 0 0 -0.000738175800621186 0.000939305034225603 0 0
23 150 0 -0.000470547157448209 9.60653778747655e-12 0 0 -0.000781265732501201 0.00125181289319864 0 0
24 150 0 -0.000768381987001021 9.06652530829888e-12 0 0 -0.0008261832595226 0.00159456524959758 0 0
25 150 0 -0.00109652599106624 8.55493453855161e-12 0 0 -0.000872678331692784 0.00196920432566765 0 0
26 150 0 -0.00145590760003245 8.02913291408913e-12 0 0 -0.000920592998924344 0.00237650060166801 0 0
27 150 0 -0.0018487098735207 7.47490958019625e-12 0 0 -0.000969504640861684 0.00281821451691916 0 0
28 150 0 -0.00227578645859694 6.90647539158817e-12 0 0 -0.0010192244259792 0.00329501088690803 0 0
29 150 0 -0.00273867473445222 6.26698692940408e-12 0 0 -0.00106932011393537 0.00380799485052356 0 0
30 150 0 -0.00323890598662757 5.698552740796e-12 0 0 -0.00111931038991516 0.00435821637847148 0 0
31 150 0 -0.00377715028856329 5.10169684275752e-12 0 0 -0.00116890928337078 0.00494605957365882 0 0
32 150 0 -0.00435486453064016 4.50484094471904e-12 0 0 -0.00121737105048944 0.00557223558266493 0 0
33 150 0 -0.00497256483920694 3.95061761082616e-12 0 0 -0.00126438232408254 0.00623694716462206 0 0
34 150 0 -0.00563096518991557 3.39639427693328e-12 0 0 -0.00130925108603753 0.00694021627709001 0 0
35 150 0 -0.00633064292962615 2.74269496003399e-12 0 0 -0.00135111323243611 0.0076817561629984 0 0
36 150 0 -0.00707170141290447 2.20268248085631e-12 0 0 -0.00138959651718233 0.00846129793082004 0 0
37 150 0 -0.00785403616585256 1.63424829224823e-12 0 0 -0.0014237521291764 0.00927778829558701 0 0
38 150 0 -0.00867727438623689 1.08002495835535e-12 0 0 -0.00145260411789796 0.0101298785044978 0 0
39 150 0 -0.00954092658815853 6.11066752753686e-13 0 0 -0.00147560453492328 0.011016531123282 0 0
40 150 0 -0.0104434046243327 1.27897692436818e-13 0 0 -0.00149134958415257 0.0119347542085217 0 0
41 150 0 -0.0113838824192456 -3.12638803734444e-13 0 0 -0.00149924447140115 0.0128831268905339 0 0
42 150 0 -0.0123600579250365 -7.24753590475302e-13 0 0 -0.00149803483938832 0.0138580927641755 0 0
43 150 0 -0.0133691585303097 -1.15107923193136e-12 0 0 -0.00148636093638754 0.0148555194663046 0 0
44 150 0 -0.0144093083772461 -1.47792889038101e-12 0 0 -0.00146347740603143 0.0158727857827756 0 0
45 150 0 -0.0154753476075129 -1.76214598468505e-12 0 0 -0.00142751872941749 0.0169028663363201 0 0
46 150 0 -0.0165649146096101 -2.01794136955868e-12 0 0 -0.00137770344957038 0.0179426180585091 0 0
47 150 0 -0.0176723877841098 -2.21689333557151e-12 0 0 -0.00131241694231895 0.0189848047256622 0 0
48 150 0 -0.0187913554358374 -2.40163444686914e-12 0 0 -0.00122992686972508 0.0200212823047408 0 0
49 150 0 -0.0199178974945653 -2.52953213930596e-12 0 0 -0.0011293065957793 0.021047204089489 0 0
50 150 0 -0.0210416737275239 -2.52953213930596e-12 0 0 -0.00100826683713232 0.0220499405638074 0 0
51 150 0 -0.0221581246291791 -2.45847786572995e-12 0 0 -0.00086586171040972 0.023023986338745 0 0
52 150 0 -0.0232569846982358 -2.41584530158434e-12 0 0 -0.000700184885812999 0.0239571695832335 0 0
53 150 0 -0.024326808640474 -2.28794760914752e-12 0 0 -0.000509214482204583 0.0248360231218957 0 0
